customer_id,city,state,join_date
CUST0001,Cincinnati,OH,2023-07-18
CUST0002,Tampa,FL,2022-02-07
CUST0003,Boulder,CO,2023-04-11
CUST0004,Knoxville,TN,2022-04-01
CUST0005,Tacoma,WA,2022-11-19
CUST0006,Savannah,GA,2022-09-16
CUST0007,Colorado Springs,CO,2022-11-28
CUST0008,Springfield,IL,2022-04-29
CUST0009,Cleveland,OH,2023-02-18
CUST0010,Detroit,MI,2023-06-11
CUST0011,New York,NY,2022-01-02
CUST0012,Cincinnati,OH,2023-11-05
CUST0013,Spokane,WA,2023-07-10
CUST0014,Seattle,WA,2023-04-19
CUST0015,Atlanta,GA,2023-02-28
CUST0016,Chicago,IL,2022-02-25
CUST0017,Miami,FL,2022-07-12
CUST0018,Augusta,GA,2023-06-15
CUST0019,Atlanta,GA,2023-01-06
CUST0020,Albany,NY,2023-09-30
CUST0021,Pittsburgh,PA,2023-05-26
CUST0022,Naperville,IL,2023-10-03
CUST0023,Houston,TX,2023-03-29
CUST0024,Savannah,GA,2022-02-22
CUST0025,Tucson,AZ,2022-07-28
CUST0026,Worcester,MA,2022-10-01
CUST0027,Pittsburgh,PA,2023-07-17
CUST0028,Austin,TX,2022-05-15
CUST0029,Tucson,AZ,2022-10-22
CUST0030,Naperville,IL,2023-03-25
CUST0031,Los Angeles,CA,2023-12-17
CUST0032,Scottsdale,AZ,2023-05-12
CUST0033,Lansing,MI,2022-05-05
CUST0034,Philadelphia,PA,2022-01-30
CUST0035,Colorado Springs,CO,2023-10-08
CUST0036,Scottsdale,AZ,2023-09-16
CUST0037,Raleigh,NC,2022-09-03
CUST0038,San Diego,CA,2023-12-28
CUST0039,Spokane,WA,2022-06-12
CUST0040,Seattle,WA,2022-11-15
CUST0041,Memphis,TN,2023-07-19
CUST0042,Grand Rapids,MI,2022-01-15
CUST0043,Phoenix,AZ,2023-07-20
CUST0044,Tucson,AZ,2023-02-22
CUST0045,Nashville,TN,2022-04-06
CUST0046,Worcester,MA,2022-08-19
CUST0047,Worcester,MA,2022-04-27
CUST0048,Memphis,TN,2023-04-18
CUST0049,Worcester,MA,2022-05-01
CUST0050,New York,NY,2023-10-26
CUST0051,Scottsdale,AZ,2022-06-07
CUST0052,Columbus,OH,2023-05-26
CUST0053,Tampa,FL,2022-10-26
CUST0054,Raleigh,NC,2023-06-06
CUST0055,Albany,NY,2023-12-24
CUST0056,Naperville,IL,2022-10-07
CUST0057,Albany,NY,2023-03-02
CUST0058,Columbus,OH,2023-05-10
CUST0059,Chicago,IL,2023-04-29
CUST0060,Raleigh,NC,2022-09-07
CUST0061,Columbus,OH,2023-04-13
CUST0062,Austin,TX,2023-07-19
CUST0063,Tampa,FL,2022-05-29
CUST0064,Charlotte,NC,2023-01-28
CUST0065,Scottsdale,AZ,2022-07-15
CUST0066,Cambridge,MA,2023-09-06
CUST0067,Dallas,TX,2023-06-05
CUST0068,Detroit,MI,2022-05-20
CUST0069,Charlotte,NC,2022-03-13
CUST0070,Grand Rapids,MI,2022-10-10
CUST0071,Springfield,IL,2023-03-01
CUST0072,Houston,TX,2022-12-15
CUST0073,Miami,FL,2023-06-04
CUST0074,Phoenix,AZ,2022-10-01
CUST0075,Knoxville,TN,2022-01-03
CUST0076,Phoenix,AZ,2022-10-17
CUST0077,Columbus,OH,2022-11-02
CUST0078,Scottsdale,AZ,2023-08-25
CUST0079,Boulder,CO,2023-08-17
CUST0080,Atlanta,GA,2023-11-07
CUST0081,Knoxville,TN,2023-05-17
CUST0082,New York,NY,2022-06-02
CUST0083,Boston,MA,2023-04-03
CUST0084,San Diego,CA,2023-07-06
CUST0085,Orlando,FL,2023-05-11
CUST0086,Austin,TX,2022-12-20
CUST0087,Atlanta,GA,2022-12-07
CUST0088,Orlando,FL,2023-07-20
CUST0089,Austin,TX,2023-07-11
CUST0090,Worcester,MA,2023-01-22
CUST0091,Pittsburgh,PA,2023-04-12
CUST0092,Philadelphia,PA,2022-11-26
CUST0093,Lansing,MI,2022-07-13
CUST0094,Tampa,FL,2023-12-16
CUST0095,Allentown,PA,2022-09-02
CUST0096,Denver,CO,2023-08-09
CUST0097,Knoxville,TN,2023-01-28
CUST0098,Dallas,TX,2022-08-28
CUST0099,Grand Rapids,MI,2023-02-25
CUST0100,Scottsdale,AZ,2022-02-14
CUST0101,Austin,TX,2022-11-22
CUST0102,Grand Rapids,MI,2023-04-30
CUST0103,Cambridge,MA,2023-12-24
CUST0104,Tampa,FL,2023-01-26
CUST0105,Cambridge,MA,2023-01-31
CUST0106,Nashville,TN,2023-11-11
CUST0107,Nashville,TN,2023-10-30
CUST0108,Atlanta,GA,2022-06-05
CUST0109,Boston,MA,2023-05-23
CUST0110,Cleveland,OH,2022-02-07
CUST0111,Phoenix,AZ,2022-05-10
