order_id,product_id,product_name,category,quantity,unit_price,total_price
ORD00001,PROD0007,Gaming Mouse,Electronics,1,109.76,109.76
ORD00001,PROD0001,Wireless Headphones,Electronics,2,220.67,441.34
ORD00001,PROD0058,Eye Cream,Beauty,1,71.04,71.04
ORD00001,PROD0045,Self-Help Bestseller,Books,2,13.44,26.88
ORD00002,PROD0050,Graphic Novel,Books,1,18.57,18.57
ORD00002,PROD0052,SPF Sunscreen,Beauty,3,19.96,59.88
ORD00003,PROD0040,Fitness Tracker,Sports,2,99.28,198.56
ORD00004,PROD0069,Science Experiment Kit,Toys,2,27.62,55.24
ORD00004,PROD0079,Multivitamins,Food & Grocery,2,20.74,41.48
ORD00004,PROD0021,Coffee Maker,Home & Kitchen,3,168.93,506.79
ORD00005,PROD0036,Jump Rope,Sports,2,20.14,40.28
ORD00005,PROD0049,Travel Photography,Books,3,39.07,117.21
ORD00005,PROD0023,Blender,Home & Kitchen,1,60.62,60.62
ORD00006,PROD0067,Card Game Pack,Toys,1,11.89,11.89
ORD00006,PROD0049,Travel Photography,Books,2,39.07,78.14
ORD00007,PROD0023,Blender,Home & Kitchen,1,60.62,60.62
ORD00007,PROD0034,Water Bottle,Sports,3,49.06,147.18
ORD00007,PROD0019,Cap,Clothing,3,34.28,102.84
ORD00008,PROD0002,Smart Watch,Electronics,2,110.0,220.0
ORD00008,PROD0044,Business Strategy,Books,2,25.81,51.62
ORD00009,PROD0039,Protein Shaker,Sports,2,31.54,63.08
ORD00009,PROD0016,Hoodie,Clothing,1,57.25,57.25
ORD00009,PROD0025,Knife Set,Home & Kitchen,2,144.87,289.74
ORD00010,PROD0073,Matcha Green Tea,Food & Grocery,2,31.91,63.82
ORD00011,PROD0049,Travel Photography,Books,1,39.07,39.07
ORD00011,PROD0067,Card Game Pack,Toys,1,11.89,11.89
ORD00011,PROD0006,Mechanical Keyboard,Electronics,1,151.5,151.5
ORD00011,PROD0014,Winter Jacket,Clothing,3,87.84,263.52
ORD00012,PROD0024,Toaster,Home & Kitchen,3,29.33,87.99
ORD00012,PROD0040,Fitness Tracker,Sports,2,99.28,198.56
ORD00012,PROD0029,LED Desk Lamp,Home & Kitchen,1,80.09,80.09
ORD00012,PROD0043,ML Engineering Guide,Books,2,29.52,59.04
ORD00013,PROD0038,Gym Bag,Sports,2,65.2,130.4
ORD00014,PROD0045,Self-Help Bestseller,Books,2,13.44,26.88
ORD00014,PROD0064,Action Figure,Toys,2,30.54,61.08
ORD00015,PROD0073,Matcha Green Tea,Food & Grocery,2,31.91,63.82
ORD00015,PROD0003,Bluetooth Speaker,Electronics,1,63.0,63.0
ORD00016,PROD0073,Matcha Green Tea,Food & Grocery,3,31.91,95.73
ORD00016,PROD0047,Cook Book,Books,1,17.53,17.53
ORD00016,PROD0002,Smart Watch,Electronics,3,110.0,330.0
ORD00016,PROD0069,Science Experiment Kit,Toys,2,27.62,55.24
ORD00017,PROD0070,Plush Stuffed Animal,Toys,2,16.69,33.38
ORD00017,PROD0041,Python Programming,Books,3,41.14,123.42
ORD00017,PROD0067,Card Game Pack,Toys,1,11.89,11.89
ORD00018,PROD0052,SPF Sunscreen,Beauty,1,19.96,19.96
ORD00018,PROD0025,Knife Set,Home & Kitchen,3,144.87,434.61
ORD00018,PROD0009,Phone Case,Electronics,2,22.66,45.32
ORD00018,PROD0036,Jump Rope,Sports,2,20.14,40.28
ORD00019,PROD0053,Lipstick Set,Beauty,2,19.34,38.68
ORD00019,PROD0023,Blender,Home & Kitchen,1,60.62,60.62
ORD00019,PROD0048,World History,Books,2,25.51,51.02
ORD00019,PROD0078,Raw Honey,Food & Grocery,1,18.09,18.09
ORD00020,PROD0030,Throw Pillow,Home & Kitchen,1,42.17,42.17
ORD00020,PROD0031,Yoga Mat,Sports,1,68.43,68.43
ORD00020,PROD0002,Smart Watch,Electronics,1,110.0,110.0
ORD00020,PROD0056,Hair Conditioner,Beauty,3,28.27,84.81
ORD00021,PROD0024,Toaster,Home & Kitchen,2,29.33,58.66
ORD00021,PROD0039,Protein Shaker,Sports,1,31.54,31.54
ORD00021,PROD0043,ML Engineering Guide,Books,3,29.52,88.56
ORD00021,PROD0040,Fitness Tracker,Sports,3,99.28,297.84
ORD00022,PROD0040,Fitness Tracker,Sports,1,99.28,99.28
ORD00022,PROD0069,Science Experiment Kit,Toys,2,27.62,55.24
ORD00023,PROD0046,Science Fiction Novel,Books,3,13.49,40.47
ORD00023,PROD0063,1000-Piece Puzzle,Toys,2,26.71,53.42
ORD00023,PROD0055,Argan Shampoo,Beauty,3,29.44,88.32
ORD00024,PROD0006,Mechanical Keyboard,Electronics,2,151.5,303.0
ORD00025,PROD0006,Mechanical Keyboard,Electronics,3,151.5,454.5
ORD00025,PROD0064,Action Figure,Toys,2,30.54,61.08
ORD00025,PROD0022,Air Fryer,Home & Kitchen,1,143.78,143.78
ORD00026,PROD0036,Jump Rope,Sports,3,20.14,60.42
ORD00027,PROD0058,Eye Cream,Beauty,1,71.04,71.04
ORD00028,PROD0046,Science Fiction Novel,Books,2,13.49,26.98
ORD00028,PROD0040,Fitness Tracker,Sports,1,99.28,99.28
ORD00028,PROD0031,Yoga Mat,Sports,3,68.43,205.29
ORD00029,PROD0028,Storage Organizer,Home & Kitchen,3,24.84,74.52
ORD00029,PROD0073,Matcha Green Tea,Food & Grocery,2,31.91,63.82
ORD00030,PROD0056,Hair Conditioner,Beauty,1,28.27,28.27
ORD00031,PROD0048,World History,Books,2,25.51,51.02
ORD00032,PROD0055,Argan Shampoo,Beauty,3,29.44,88.32
ORD00032,PROD0077,Mixed Nuts Pack,Food & Grocery,2,37.44,74.88
ORD00032,PROD0006,Mechanical Keyboard,Electronics,1,151.5,151.5
ORD00032,PROD0031,Yoga Mat,Sports,2,68.43,136.86
ORD00033,PROD0076,Artisan Pasta,Food & Grocery,1,10.93,10.93
ORD00033,PROD0029,LED Desk Lamp,Home & Kitchen,1,80.09,80.09
ORD00034,PROD0069,Science Experiment Kit,Toys,3,27.62,82.86
ORD00034,PROD0036,Jump Rope,Sports,2,20.14,40.28
ORD00034,PROD0025,Knife Set,Home & Kitchen,2,144.87,289.74
ORD00035,PROD0035,Running Shoes,Sports,3,99.21,297.63
ORD00035,PROD0023,Blender,Home & Kitchen,1,60.62,60.62
ORD00035,PROD0048,World History,Books,3,25.51,76.53
ORD00036,PROD0029,LED Desk Lamp,Home & Kitchen,3,80.09,240.27
ORD00036,PROD0053,Lipstick Set,Beauty,3,19.34,58.02
ORD00036,PROD0011,T-Shirt,Clothing,3,18.75,56.25
ORD00036,PROD0025,Knife Set,Home & Kitchen,3,144.87,434.61
ORD00037,PROD0009,Phone Case,Electronics,1,22.66,22.66
ORD00037,PROD0014,Winter Jacket,Clothing,2,87.84,175.68
ORD00037,PROD0080,Healthy Snack Box,Food & Grocery,2,23.63,47.26
ORD00038,PROD0058,Eye Cream,Beauty,1,71.04,71.04
ORD00038,PROD0008,Portable Monitor,Electronics,2,144.34,288.68
ORD00039,PROD0079,Multivitamins,Food & Grocery,2,20.74,41.48
ORD00040,PROD0070,Plush Stuffed Animal,Toys,2,16.69,33.38
ORD00040,PROD0001,Wireless Headphones,Electronics,1,220.67,220.67
ORD00040,PROD0058,Eye Cream,Beauty,3,71.04,213.12
ORD00041,PROD0031,Yoga Mat,Sports,2,68.43,136.86
ORD00041,PROD0068,Art & Craft Kit,Toys,1,13.06,13.06
ORD00041,PROD0060,Nail Polish Set,Beauty,2,16.35,32.7
ORD00042,PROD0064,Action Figure,Toys,3,30.54,91.62
ORD00043,PROD0024,Toaster,Home & Kitchen,1,29.33,29.33
ORD00044,PROD0021,Coffee Maker,Home & Kitchen,1,168.93,168.93
ORD00044,PROD0056,Hair Conditioner,Beauty,2,28.27,56.54
ORD00045,PROD0004,USB-C Hub,Electronics,1,33.39,33.39
ORD00046,PROD0037,Foam Roller,Sports,2,53.18,106.36
ORD00046,PROD0044,Business Strategy,Books,3,25.81,77.43
ORD00046,PROD0006,Mechanical Keyboard,Electronics,3,151.5,454.5
ORD00046,PROD0022,Air Fryer,Home & Kitchen,1,143.78,143.78
ORD00047,PROD0078,Raw Honey,Food & Grocery,3,18.09,54.27
ORD00048,PROD0027,Mug Set,Home & Kitchen,3,18.25,54.75
ORD00048,PROD0059,Vitamin C Serum,Beauty,1,28.13,28.13
ORD00048,PROD0040,Fitness Tracker,Sports,1,99.28,99.28
ORD00048,PROD0024,Toaster,Home & Kitchen,3,29.33,87.99
ORD00049,PROD0032,Adjustable Dumbbells,Sports,1,159.46,159.46
ORD00049,PROD0068,Art & Craft Kit,Toys,2,13.06,26.12
ORD00050,PROD0026,Cutting Board,Home & Kitchen,1,23.46,23.46
ORD00051,PROD0063,1000-Piece Puzzle,Toys,1,26.71,26.71
ORD00051,PROD0016,Hoodie,Clothing,3,57.25,171.75
ORD00051,PROD0024,Toaster,Home & Kitchen,2,29.33,58.66
ORD00052,PROD0062,Strategy Board Game,Toys,2,43.8,87.6
ORD00053,PROD0018,Ankle Socks,Clothing,1,13.84,13.84
ORD00053,PROD0067,Card Game Pack,Toys,1,11.89,11.89
ORD00053,PROD0021,Coffee Maker,Home & Kitchen,2,168.93,337.86
ORD00053,PROD0022,Air Fryer,Home & Kitchen,1,143.78,143.78
ORD00054,PROD0035,Running Shoes,Sports,1,99.21,99.21
ORD00055,PROD0002,Smart Watch,Electronics,3,110.0,330.0
ORD00055,PROD0033,Resistance Bands,Sports,3,26.09,78.27
ORD00055,PROD0078,Raw Honey,Food & Grocery,3,18.09,54.27
ORD00056,PROD0005,Webcam,Electronics,1,143.11,143.11
ORD00056,PROD0006,Mechanical Keyboard,Electronics,2,151.5,303.0
ORD00057,PROD0071,Whey Protein Bar,Food & Grocery,3,22.38,67.14
ORD00057,PROD0025,Knife Set,Home & Kitchen,1,144.87,144.87
ORD00057,PROD0073,Matcha Green Tea,Food & Grocery,3,31.91,95.73
ORD00058,PROD0079,Multivitamins,Food & Grocery,2,20.74,41.48
ORD00059,PROD0030,Throw Pillow,Home & Kitchen,2,42.17,84.34
ORD00059,PROD0035,Running Shoes,Sports,2,99.21,198.42
ORD00060,PROD0051,Face Moisturizer,Beauty,1,39.06,39.06
ORD00061,PROD0073,Matcha Green Tea,Food & Grocery,3,31.91,95.73
ORD00061,PROD0074,Granola Mix,Food & Grocery,2,13.35,26.7
ORD00062,PROD0005,Webcam,Electronics,2,143.11,286.22
