order_id,customer_id,order_date,status
ORD00001,CUST0001,2023-11-03,Cancelled
ORD00002,CUST0051,2024-01-07,Delivered
ORD00003,CUST0685,2023-11-02,Delivered
ORD00004,CUST0717,2024-12-17,Delivered
ORD00005,CUST0772,2024-12-18,Shipped
ORD00006,CUST0446,2024-04-25,Delivered
ORD00007,CUST0449,2023-05-28,Delivered
ORD00008,CUST0881,2023-11-11,Delivered
ORD00009,CUST0488,2024-03-12,Shipped
ORD00010,CUST0800,2024-12-24,Delivered
ORD00011,CUST0034,2024-12-13,Shipped
ORD00012,CUST0348,2024-12-16,Delivered
ORD00013,CUST0095,2024-06-26,Delivered
ORD00014,CUST0072,2024-11-24,Cancelled
ORD00015,CUST0551,2024-02-20,Shipped
ORD00016,CUST0154,2023-08-11,Delivered
ORD00017,CUST0250,2023-02-22,Delivered
ORD00018,CUST0674,2024-05-20,Delivered
ORD00019,CUST0438,2024-03-15,Delivered
ORD00020,CUST0118,2024-07-24,Delivered
ORD00021,CUST0771,2024-09-14,Delivered
ORD00022,CUST0891,2024-09-26,Delivered
ORD00023,CUST0306,2023-02-21,Shipped
ORD00024,CUST0268,2024-06-26,Delivered
ORD00025,CUST0961,2023-12-05,Shipped
ORD00026,CUST0054,2024-01-03,Delivered
ORD00027,CUST0236,2023-11-12,Cancelled
ORD00028,CUST0389,2024-06-19,Processing
ORD00029,CUST0990,2023-09-22,Processing
ORD00030,CUST0734,2024-12-12,Processing
ORD00031,CUST0763,2024-11-19,Cancelled
ORD00032,CUST0825,2023-08-13,Delivered
ORD00033,CUST0401,2024-09-08,Delivered
ORD00034,CUST0624,2023-01-06,Delivered
ORD00035,CUST0767,2024-08-18,Shipped
ORD00036,CUST0303,2023-04-09,Shipped
ORD00037,CUST0919,2024-04-20,Delivered
ORD00038,CUST0207,2024-10-16,Delivered
ORD00039,CUST0229,2023-03-28,Delivered
ORD00040,CUST0853,2023-07-23,Cancelled
ORD00041,CUST0910,2024-12-26,Delivered
ORD00042,CUST0578,2024-10-23,Delivered
ORD00043,CUST0075,2023-08-10,Delivered
ORD00044,CUST0435,2024-11-23,Delivered
ORD00045,CUST0103,2023-11-17,Cancelled
ORD00046,CUST0422,2023-03-07,Shipped
ORD00047,CUST0704,2023-04-16,Processing
ORD00048,CUST0764,2023-06-19,Delivered
ORD00049,CUST0738,2024-07-18,Shipped
ORD00050,CUST0806,2023-09-03,Delivered
ORD00051,CUST0306,2023-05-23,Shipped
ORD00052,CUST0098,2024-08-25,Delivered
ORD00053,CUST0850,2024-11-03,Delivered
ORD00054,CUST0798,2023-12-21,Shipped
ORD00055,CUST0335,2023-07-22,Cancelled
ORD00056,CUST0859,2024-03-27,Delivered
ORD00057,CUST0435,2023-11-05,Processing
ORD00058,CUST0447,2024-08-28,Delivered
ORD00059,CUST0994,2023-11-17,Delivered
ORD00060,CUST0308,2023-05-06,Delivered
ORD00061,CUST0249,2024-12-08,Delivered
ORD00062,CUST0166,2024-12-17,Delivered
ORD00063,CUST0481,2024-11-09,Delivered
ORD00064,CUST0984,2023-09-18,Delivered
ORD00065,CUST0335,2024-03-10,Cancelled
ORD00066,CUST0542,2023-08-06,Delivered
ORD00067,CUST0759,2023-03-20,Shipped
ORD00068,CUST0106,2024-11-19,Delivered
ORD00069,CUST0563,2023-11-01,Shipped
ORD00070,CUST0081,2023-01-21,Delivered
ORD00071,CUST0133,2024-09-25,Delivered
ORD00072,CUST0797,2024-09-01,Delivered
ORD00073,CUST0900,2024-12-18,Delivered
ORD00074,CUST0138,2024-09-10,Delivered
ORD00075,CUST0184,2024-04-26,Shipped
ORD00076,CUST0401,2024-05-03,Cancelled
ORD00077,CUST0330,2023-03-14,Processing
ORD00078,CUST0785,2024-07-11,Shipped
ORD00079,CUST0508,2023-05-23,Delivered
ORD00080,CUST0852,2024-10-28,Delivered
ORD00081,CUST0984,2024-12-05,Delivered
ORD00082,CUST0069,2024-08-04,Delivered
ORD00083,CUST0546,2024-04-04,Delivered
ORD00084,CUST0774,2024-07-05,Delivered
ORD00085,CUST0053,2023-01-13,Delivered
ORD00086,CUST0450,2024-04-28,Delivered
ORD00087,CUST0205,2023-11-19,Processing
ORD00088,CUST0126,2024-03-06,Processing
ORD00089,CUST0747,2024-12-15,Delivered
ORD00090,CUST0043,2024-12-16,Cancelled
ORD00091,CUST0752,2023-02-13,Cancelled
ORD00092,CUST0971,2024-12-07,Delivered
ORD00093,CUST0883,2024-01-10,Delivered
ORD00094,CUST0111,2024-09-27,Delivered
ORD00095,CUST0761,2024-05-01,Cancelled
ORD00096,CUST0663,2023-07-09,Cancelled
ORD00097,CUST0183,2024-11-12,Delivered
ORD00098,CUST0848,2023-06-19,Delivered
ORD00099,CUST0095,2023-06-10,Delivered
ORD00100,CUST0971,2023-06-15,Delivered
ORD00101,CUST0374,2024-11-20,Delivered
ORD00102,CUST0912,2023-03-04,Processing
ORD00103,CUST0520,2024-06-11,Shipped
ORD00104,CUST0900,2024-11-07,Processing
ORD00105,CUST0360,2024-08-02,Processing
ORD00106,CUST0900,2023-03-11,Shipped
ORD00107,CUST0696,2024-08-05,Delivered
ORD00108,CUST0281,2023-05-20,Delivered
ORD00109,CUST0195,2024-03-20,Delivered
ORD00110,CUST0864,2024-09-17,Shipped
ORD00111,CUST0195,2024-10-10,Delivered
ORD00112,CUST0667,2024-11-12,Shipped
ORD00113,CUST0093,2024-10-14,Delivered
ORD00114,CUST0672,2024-11-24,Delivered
ORD00115,CUST0946,2023-09-09,Delivered
ORD00116,CUST0061,2023-10-19,Delivered
ORD00117,CUST0634,2024-03-21,Shipped
ORD00118,CUST0051,2024-03-22,Shipped
ORD00119,CUST0403,2023-01-23,Delivered
ORD00120,CUST0789,2023-04-15,Delivered
ORD00121,CUST0005,2024-06-14,Delivered
ORD00122,CUST0466,2023-06-25,Delivered
ORD00123,CUST0604,2024-12-24,Delivered
ORD00124,CUST0682,2023-10-17,Cancelled
ORD00125,CUST0829,2023-08-22,Delivered
ORD00126,CUST0534,2024-08-11,Delivered
ORD00127,CUST0405,2023-07-18,Delivered
ORD00128,CUST0838,2024-08-22,Delivered
ORD00129,CUST0513,2024-09-07,Delivered
ORD00130,CUST0645,2023-05-10,Delivered
ORD00131,CUST0233,2023-12-10,Delivered
ORD00132,CUST0524,2024-10-23,Delivered
ORD00133,CUST0346,2024-05-12,Delivered
ORD00134,CUST0046,2024-05-19,Delivered
ORD00135,CUST0546,2024-12-13,Delivered
ORD00136,CUST0945,2024-12-26,Cancelled
ORD00137,CUST0078,2023-05-10,Delivered
ORD00138,CUST0730,2023-05-15,Delivered
ORD00139,CUST0813,2024-10-07,Delivered
ORD00140,CUST0923,2023-11-09,Delivered
ORD00141,CUST0073,2024-03-20,Delivered
ORD00142,CUST0794,2023-04-22,Shipped
ORD00143,CUST0249,2023-09-02,Shipped
ORD00144,CUST0047,2023-06-23,Delivered
ORD00145,CUST0121,2024-02-25,Delivered
ORD00146,CUST0214,2023-01-18,Delivered
ORD00147,CUST0239,2023-06-16,Cancelled
ORD00148,CUST0056,2024-09-25,Shipped
ORD00149,CUST0350,2024-05-21,Delivered
ORD00150,CUST0107,2023-12-03,Delivered
ORD00151,CUST0831,2023-08-24,Delivered
ORD00152,CUST0048,2023-12-06,Delivered
ORD00153,CUST0573,2024-12-06,Delivered
ORD00154,CUST0337,2023-12-13,Delivered
ORD00155,CUST0026,2024-03-24,Shipped
ORD00156,CUST0804,2024-12-01,Delivered
ORD00157,CUST0257,2024-08-04,Delivered
ORD00158,CUST0008,2024-05-21,Cancelled
ORD00159,CUST0625,2024-12-05,Delivered
ORD00160,CUST0867,2024-05-26,Delivered
ORD00161,CUST0253,2023-05-24,Delivered
ORD00162,CUST0692,2024-09-23,Delivered
ORD00163,CUST0719,2023-01-11,Processing
ORD00164,CUST0303,2024-08-25,Delivered
ORD00165,CUST0639,2023-03-28,Delivered
ORD00166,CUST0056,2024-11-17,Delivered
ORD00167,CUST0726,2024-02-22,Shipped
ORD00168,CUST0526,2023-03-05,Shipped
ORD00169,CUST0474,2024-05-08,Delivered
ORD00170,CUST0028,2023-04-08,Delivered
ORD00171,CUST0983,2024-11-11,Shipped
ORD00172,CUST0078,2024-09-19,Delivered
ORD00173,CUST0216,2023-04-12,Processing
ORD00174,CUST0386,2023-02-04,Processing
ORD00175,CUST0365,2024-05-13,Processing
ORD00176,CUST0666,2024-10-21,Delivered
ORD00177,CUST0526,2024-06-08,Delivered
ORD00178,CUST0699,2023-12-16,Processing
ORD00179,CUST0312,2023-07-20,Delivered
ORD00180,CUST0883,2024-06-18,Delivered
ORD00181,CUST0007,2024-11-26,Processing
ORD00182,CUST0003,2023-11-22,Cancelled
ORD00183,CUST0623,2023-08-17,Delivered
ORD00184,CUST0919,2024-02-19,Delivered
ORD00185,CUST0750,2023-02-18,Delivered
ORD00186,CUST0363,2023-08-05,Processing
ORD00187,CUST0751,2023-05-17,Cancelled
ORD00188,CUST0508,2024-02-07,Delivered
ORD00189,CUST0274,2024-02-17,Delivered
ORD00190,CUST0506,2024-11-15,Cancelled
ORD00191,CUST0806,2023-08-15,Delivered
ORD00192,CUST0739,2023-08-22,Delivered
ORD00193,CUST0883,2024-10-13,Returned
ORD00194,CUST0015,2024-11-24,Delivered
ORD00195,CUST0192,2023-08-02,Shipped
ORD00196,CUST0985,2024-05-03,Delivered
ORD00197,CUST0631,2023-12-03,Delivered
